"annotation_id","annotator","category","created_at","id","latitude ","lead_time","longitude","rating","rating_count","review","review_time","reviewer_id","sentiment","store_address","store_name","updated_at"
5,"1","Fast food restaurant","2024-08-15T13:39:03.028315Z",11021,38.9054561,1.662,-77.0442355,"3 stars","1,269","Neutral","6 years ago",10004,"neutral","1916 M St NW, Washington, DC 20036, United States","McDonald's","2024-08-15T13:39:03.028315Z"
6,"1","Fast food restaurant","2024-08-15T13:40:49.760439Z",11022,29.6762669,15.498,-98.6345801,"4 stars","1,460","My kid's happy meal didn't get a drink nor toy.","11 months ago",14169,"negative","25200 I-10 Lot 2, San Antonio, TX 78257, United States","McDonald's","2024-08-15T13:40:49.760439Z"
7,"1","Fast food restaurant","2024-08-15T13:41:01.809029Z",11023,29.6762669,3.382,-98.6345801,"5 stars","1,460","Love the sodas at McDonald's ï¿½","a year ago",14415,"positive","25200 I-10 Lot 2, San Antonio, TX 78257, United States","McDonald's","2024-08-15T13:41:01.809029Z"
8,"1","Fast food restaurant","2024-08-15T13:41:07.573931Z",11024,36.0902437,4.163,-115.1758223,"1 star","2,365","Don't waste you time and money.","4 years ago",21765,"negative","By Mandalay Bay, 3999 S Las Vegas Blvd, Las Vegas, NV 89119, United States","McDonald's","2024-08-15T13:41:07.573931Z"
9,"1","Fast food restaurant","2024-08-15T13:41:17.791764Z",11025,40.7274006,8.67,-73.8124604,"5 stars","2,193","Excellent ","4 years ago",2869,"positive","72-69 Kissena Blvd, Queens, NY 11367, United States","McDonald's","2024-08-15T13:41:17.791764Z"
10,"1","Fast food restaurant","2024-08-15T13:41:25.965676Z",11026,25.8099996,6.253,-80.1890981,"5 stars","2,810","Good attention","9 months ago",33381,"positive","3501 Biscayne Blvd, Miami, FL 33137, United States","McDonald's","2024-08-15T13:41:25.965676Z"
11,"1","Fast food restaurant","2024-08-15T13:41:32.473619Z",11027,40.9220806,3.6,-75.3999187,"3 stars","1,028","Neutral","a year ago",1366,"neutral","1698 US-209, Brodheadsville, PA 18322, United States","McDonald's","2024-08-15T13:41:32.473619Z"
12,"1","Fast food restaurant","2024-08-15T13:41:41.763742Z",11028,32.9580411,6.016,-97.3076518,"5 stars","957","Excellent ","2 years ago",20804,"positive","2400 Alliance Gateway Fwy, Fort Worth, TX 76177, United States","McDonald's","2024-08-15T13:41:41.763742Z"
13,"1","Fast food restaurant","2024-08-15T13:41:49.837587Z",11029,34.1525074,5.101,-118.3679036,"2 stars","1,794","It's a McDonald's so the food is very consistent. Unfortunately, the parking lot is impossible to use since the drive through wraps through it. I've been stuck in the parking lot for 20 minutes with no way to get out.","5 years ago",26793,"positive","10901 Riverside Dr, North Hollywood, CA 91602, United States","McDonald's","2024-08-15T13:41:49.837587Z"
14,"1","Fast food restaurant","2024-08-15T13:41:54.308428Z",11030,41.8796564,3.046,-87.7779131,"4 stars","1,454","Good","3 years ago",15230,"positive","111 Madison St, Oak Park, IL 60302, United States","McDonald's","2024-08-15T13:41:54.308428Z"
