,Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
0,Brazil,Jul 4-7,4,Inside Out 2,Walt Disney Pictures,9237667
1,France,Jul 3-7,3,Inside Out 2,Walt Disney Studios Motion Pictures,8769022
2,South Korea,Jul 5-7,2,Inside Out 2,,7718795
3,China,Jul 5-7,3,Inside Out 2,Walt Disney Studios Motion Pictures,6694866
4,United Kingdom,Jul 5-7,3,Inside Out 2,Walt Disney Pictures,6570115
5,Mexico,Jul 5-7,2,Inside Out 2,Walt Disney Pictures,5037075
6,Germany,Jul 4-7,11,Inside Out 2,Walt Disney Pictures,4714295
7,Italy,Jul 4-7,21,Inside Out 2,Walt Disney Studios Motion Pictures,4258498
8,Australia,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,4039683
9,Spain,Jul 5-7,3,Inside Out 2,Walt Disney Studios Motion Pictures,2916999
10,Vietnam,Jul 5-7,18,Despicable Me 4,Universal Pictures International (UPI),1832982
11,Argentina,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,1821473
12,Chile,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,1548075
13,Japan,Jul 6-7,11,Look Back,Avex Entertainment,1378921
14,Belgium,Jul 3-7,3,Inside Out 2,Walt Disney Pictures,1375451
15,Taiwan,Jul 5-7,2,Inside Out 2,Walt Disney Pictures,1207163
16,Colombia,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,1155580
17,Switzerland,Jul 3-7,3,Inside Out 2,Walt Disney Pictures,780387
18,Denmark,Jul 4-7,3,Inside Out 2,Walt Disney Pictures,732264
19,Poland,Jul 5-7,2,Inside Out 2,Walt Disney Pictures,640075
20,New Zealand,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,591075
21,Austria,Jul 4-7,3,Inside Out 2,Walt Disney Pictures,546370
22,Philippines,Jul 3-7,2,Inside Out 2,Walt Disney Pictures,538635
23,Norway,Jul 5-7,3,Inside Out 2,Walt Disney Pictures,359196
24,Singapore,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,351020
25,Russia/CIS,Jul 4-7,125,Tri bogatyrya. Ni dnya bez podviga,,338138
26,Indonesia,Jul 3-7,2,Inside Out 2,Walt Disney Pictures,326142
27,Malaysia,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,325949
28,India,Jul 5-7,3,Inside Out 2,Walt Disney Pictures,244144
29,Thailand,Jul 4-7,2,Inside Out 2,Walt Disney Pictures,168932
30,Netherlands,Jul 4-7,2,Kinds of Kindness,Walt Disney Pictures,135597
31,Croatia,Jul 4-7,20,Despicable Me 4,Universal Pictures International (UPI),132506
32,Finland,Jul 5-7,2,Kinds of Kindness,Walt Disney Pictures,32161
33,Sweden,Jul 5-7,2,Kingdom of the Planet of the Apes,Walt Disney Pictures,29254
34,Hong Kong,Jul 4-7,1,Kingdom of the Planet of the Apes,Walt Disney Pictures,799
35,United Arab Emirates,Jun 27-30,40,Inside Out 2,,1487409
36,Israel,Jun 27-30,16,Despicable Me 4,Universal Pictures International (UPI),982395
37,Türkiye,Jun 28-30,54,Inside Out 2,Universal Pictures International (UPI),791244
38,Portugal,Jun 27-30,49,Despicable Me 4,Universal Pictures International (UPI),615222
39,Ecuador,Jun 28-30,13,Despicable Me 4,Universal Pictures International (UPI),526888
40,South Africa,Jun 28-30,21,Despicable Me 4,Universal Pictures International (UPI),397116
41,Hungary,Jun 27-30,54,Inside Out 2,Forum Hungary,384777
42,Slovakia,Jun 27-30,28,Inside Out 2,Universal Pictures International (UPI),304970
43,Bolivia,Jun 27-30,13,Despicable Me 4,Universal Pictures International (UPI),291274
44,Romania,Jun 28-30,36,Inside Out 2,,179695
45,Uruguay,Jun 27-30,12,Despicable Me 4,Universal Pictures International (UPI),136122
46,Czech Republic,Jun 27-30,29,A Quiet Place: Day One,Universal Pictures International (UPI),129578
47,Bulgaria,Jun 28-30,74,Inside Out 2,Forum Film,107997
48,Serbia and Montenegro,Jun 27-30,10,Despicable Me 4,,105945
49,Iceland,Jun 28-30,24,Inside Out 2,Sam Film,49265
50,Slovenia,Jun 27-30,24,Inside Out 2,,33836
51,Ukraine,Jun 27-30,13,The Bikeriders,Universal Pictures International (UPI),30953
52,Saudi Arabia,Jun 27-30,10,The Bikeriders,Universal Pictures International (UPI),19740
53,Kenya,Jun 26-30,10,Despicable Me 4,Universal Pictures International (UPI),14144
54,Central America,Jun 27-30,12,The Bikeriders,Universal Pictures International (UPI),11379
55,Albania,Jun 29-30,11,Despicable Me 4,Universal Pictures International (UPI),11042
56,Greece,Jun 27-30,12,The Bikeriders,Universal Pictures International (UPI),9831
57,North Macedonia,Jun 28-30,10,Despicable Me 4,Universal Pictures International (UPI),5333
58,Nigeria,Jun 26-30,10,Despicable Me 4,Universal Pictures International (UPI),4602
59,Peru,Jun 27-30,12,Kung Fu Panda 4,Universal Pictures International (UPI),4582
60,Estonia,Jun 28-30,12,Firebrand,,1450
61,Lithuania,Jun 28-30,12,Firebrand,,1251
62,Cyprus,Jun 28-30,11,The Bikeriders,Universal Pictures International (UPI),1204
63,Egypt,Jun 26-30,10,The Bikeriders,Universal Pictures International (UPI),1067
64,Latvia,Jun 28-30,12,The Fall Guy,Universal Pictures International (UPI),983
65,Lebanon,Jun 27-30,10,The Bikeriders,Universal Pictures International (UPI),851
66,Pakistan,Jun 26-30,8,Kung Fu Panda 4,Universal Pictures International (UPI),623
67,Sri Lanka,Jun 28-30,8,The Fall Guy,Universal Pictures International (UPI),177
