title,size,release,loaded
Elden Ring,68.11 GB,2022 г.,4 637 294
Total War: WARHAMMER 3,111.45 ГБ,2022 г.,746 981
Red Dead Redemption 2,108.11 GB,2019 г.,3 015 219
FINAL FANTASY 14 Online,4.66 ГБ,2014 г.,103 084
Dead by Daylight,39.95 ГБ,2016 г.,248 038
Sea of Thieves,94 ГБ,2020 г.,228 829
Grand Theft Auto 5,112.65 ГБ,2015 г.,2 397 247
Bodycam,26.6 GB,2024 г.,14 203
Tom Clancy's Rainbow Six Siege,32.08 ГБ,2015 г.,234 695
Ready or Not,32.22 ГБ,2023 г.,354 053
Rust,17.5 GB,2018 г.,543 052
Ghost of Tsushima DIRECTOR'S CUT,38.36 GB,2024 г.,375 102
Total War: WARHAMMER 2,38.84 ГБ,2017 г.,640 861
Guilty Gear Strive,17.05 ГБ,2021 г.,149 385
"Warhammer 40,000: Space Marine 2",69.26 ГБ,2024 г.,28 696
Diablo 4,83 ГБ,2023 г.,251 806
Assassins Creed Odyssey,55.1 ГБ,2018 г.,957 646
Arma 3,77.03 ГБ,2013 г.,524 783
The Elder Scrolls Online,29.98 ГБ,2014 г.,125 230
Total War: WARHAMMER,14.13 ГБ,2016 г.,220 571
Hades 2,3.15 GB,2024 г.,25 411
Tom Clancy's Ghost Recon Wildlands,37.24 ГБ,2017 г.,498 240
Black Desert,55 ГБ,2017 г.,168 825
Company of Heroes 3,16.45 GB,2023 г.,195 310
Mortal Kombat 1,23.5 GB,2023 г.,81 852
Dead Island 2,45.09 ГБ,2024 г.,252 636
Party Animals,4.38 ГБ,2023 г.,137 402
Tekken 8,97.01GB,2024 г.,76 861
Cyberpunk 2077,78.61 GB,2020 г.,2 768 822
iRacing,1.83 GB,2015 г.,74 864
ARK: Survival Evolved,42.44 ГБ,2017 г.,373 225
Call of Duty: Black Ops 3,138.38 ГБ,2015 г.,398 509
ARK: Survival Ascended,116 GB,2023 г.,47 695
GTA: San Andreas - Definitive Edition,14.14 ГБ,2023 г.,607 065
Drug Dealer Simulator 2,20.21 GB,2024 г.,28 547
Palworld,18.52 GB,2024 г.,67 894
Remnant 2,76.45 ГБ,2023 г.,116 283
Last Epoch,22.15 GB,2024 г.,253 847
Tom Clancy’s Ghost Recon Breakpoint,63.11 ГБ,2023 г.,579 631
Beat Saber,3.56 ГБ,2019 г.,111 490
The Elder Scrolls 5: Skyrim Special Edition,11.67 GB,2016 г.,597 620
Valheim,1.10 ГБ,2021 г.,491 490
Chivalry 2,14.10 ГБ,2022 г.,231 784
Contraband Police,4.65 ГБ,2023 г.,178 285
Fallout 4,21.9 ГБ,2015 г.,919 578
Escape the Backrooms,16.54 ГБ,2022 г.,118 365
Ведьмак 3: Дикая Охота,35.21 ГБ,2015 г.,1 459 734
Sniper Elite 5,86.96 ГБ,2022 г.,564 330
Roboquest,4.71 ГБ,2023 г.,67 819
Resident Evil 4 Remake,44.77 ГБ,2023 г.,350 800
Half-Life: Alyx,67.89 GB,2020 г.,370 172
Tiny Tina's Wonderlands,28.27 ГБ,2022 г.,732 601
Avatar: Frontiers of Pandora,79.17 ГБ,2024 г.,28 052
Conan Exiles,69.38 ГБ,2018 г.,324 897
Resident Evil Village,24.24 ГБ,2021 г.,1 062 767
Euro Truck Simulator 2 - Vive la France !,6.53 GB,2016 г.,24 831
Getting Over It with Bennett Foddy,643.72 МБ,2017 г.,104 890
Hogwarts Legacy,75.72 ГБ,2023 г.,634 389
Euro Truck Simulator 2 - Italia,6.53 GB,2017 г.,21 443
Have a Nice Death,1.07 ГБ,2023 г.,214 668
Euro Truck Simulator 2 - Beyond the Baltic Sea,6.53 GB,2018 г.,44 362
No Rest for the Wicked,28.93 GB,2024 г.,31 843
Wallpaper Engine,8.84 ГБ,2018 г.,682 401
Street Fighter 6,51.47 ГБ,2023 г.,175 073
Vampire Survivors,204.8 МБ,2022 г.,423 959
Granblue Fantasy Versus: Rising,12.36 ГБ,2023 г.,19 812
Granblue Fantasy: Relink,99.7 ГБ,2024 г.,31 813
Horizon Forbidden West,147 GB,2024 г.,349 758
Euro Truck Simulator 2 - Road to the Black Sea,6.53 GB,2019 г.,62 430
GTA 4,13.2 ГБ,2020 г.,981 737
Dome Keeper,288.16 МБ,2022 г.,150 427
Atelier Ryza 3: Alchemist of the End & the Secret Key,14.28 ГБ,2023 г.,40 855
Insurgency: Sandstorm,15.40 ГБ,2018 г.,234 563
Mount and Blade 2: Bannerlord,30.54 ГБ,2022 г.,1 716 091
A Total War Saga: TROY,9.38 ГБ,2021 г.,276 663
HITMAN 3,75.95 ГБ,2022 г.,675 570
PANICORE,7.43 ГБ,2024 г.,10 116
